ID,Empresa,Tipo,Ciudad,Estado,Teléfono,WhatsApp_link,Sitio_web,Especialidad_notas,Fecha_llamada,Estado_llamada,Demo_enviada,Cerrado,Notas_seguimiento
1,Hughes Events,Corporativos / General,CDMX,CDMX,5554552934,https://wa.me/525554552934,agencia-de-eventos-cdmx,20+ años. Corporativos y sociales.,,,,,
2,iRHOD Producer,Producción general,CDMX,CDMX,5539858314,https://wa.me/525539858314,,Producción audiovisual y eventos.,,,,,
3,Eufra México,Social / Corporativo,CDMX,CDMX,5574834716,https://wa.me/525574834716,eufra-mexico.ueniweb.com,,,,,,
4,MICE México (Neruc),MICE / Corporativos,CDMX,CDMX,5589509577,https://wa.me/525589509577,micemexico.events,"Reuniones, incentivos, congresos.",,,,,
5,J&J Eventos Especiales,Social / Empresarial,CDMX,CDMX,5556054155,https://wa.me/525556054155,jjeventos.com,"20+ años. Pitagoras 916, Del Valle.",,,,,
6,Banquetes Ambrosia,Social / Corporativo,CDMX,CDMX,5546249800,https://wa.me/525546249800,ambrosia.mx,Salones propios. Periférico Sur 3395.,,,,,
7,SARAO,Bodas / Fiestas / Corpor.,CDMX (multi),CDMX,5552712032,https://wa.me/525552712032,sarao.com.mx,Líder 20+ años. Fiestas temáticas.,,,,,
8,Imagic Group,Congresos / Corporativos,CDMX,CDMX,5556694973,https://wa.me/525556694973,imagicgroup.com,Insurgentes Sur 428. info@imagicgroup.com,,,,,
9,Eventos VB,Producción audiovisual,CDMX,CDMX,5512375887,https://wa.me/525512375887,eventosvb.com,Tecnología innovadora en espectáculos.,,,,,
10,Fiestas y Eventos EGO,Social / Empresarial,CDMX,CDMX,5565893354,https://wa.me/525565893354,fiestasyeventosego.com,Asesoría profesional en coordinación.,,,,,
11,Intermeeting,Congresos / Convenciones,CDMX,CDMX,5556630402,https://wa.me/525556630402,intermeeting.com.mx,19 años en congresos y exposiciones.,,,,,
12,Social Casino Eventos,Social / Entretenimiento,CDMX Benito Juárez,CDMX,5537091828,https://wa.me/525537091828,,Planificación y organización.,,,,,
13,Pilares Eventos,Social / Corporativo,CDMX,CDMX,5632630657,https://wa.me/525632630657,,Decoración + entretenimiento completo.,,,,,
14,Ángel Eventos,Social / Bodas,CDMX Coyoacán,CDMX,5544704037,https://wa.me/525544704037,,200+ eventos realizados.,,,,,
15,Gruposmart Agencia Creativa,Corporativos / Creativos,CDMX Cuauhtémoc,CDMX,5631218424,https://wa.me/525631218424,,Proyectos creativos y operativos.,,,,,
16,Syncretic,Corporativos / Híbridos,CDMX,CDMX,5564688368,https://wa.me/525564688368,,Presencial + híbrido + virtual.,,,,,
17,Happy Planners,Bodas / Social,CDMX Benito Juárez,CDMX,5624406148,https://wa.me/525624406148,,Planificación de eventos diversos.,,,,,
18,Proeesa Eventos,Empresarial / Social,CDMX Cuauhtémoc,CDMX,5523281428,https://wa.me/525523281428,,Académicos + empresariales + sociales.,,,,,
19,Vansi Experience Marketing,Experiencias de marca,CDMX Álvaro Obregón,CDMX,5565382198,https://wa.me/525565382198,,Marketing experiencial personalizado.,,,,,
20,NAYA events,Social / Empresarial,CDMX Cuauhtémoc,CDMX,5510145574,https://wa.me/525510145574,,,,,,,
21,Starfall,Asesoría / Organización,CDMX V. Carranza,CDMX,5537229721,https://wa.me/525537229721,,,,,,,
22,Bauri Event Planning,Social / Empresarial,CDMX Tlalpan,CDMX,5529539113,https://wa.me/525529539113,,,,,,,
23,MH Producciones,Corporativos / Ferias,CDMX Miguel Hidalgo,CDMX,5555126896,https://wa.me/525555126896,,"Lanzamientos, ferias, corporativos.",,,,,
24,Congrexpo,Congresos / Escenografía,CDMX,CDMX,5527556706,https://wa.me/525527556706,,Especialistas en escenografía para congresos.,,,,,
25,El Antro House Eventos,Todo incluido,CDMX Álvaro Obregón,CDMX,5546200478,https://wa.me/525546200478,,Paquetes todo incluido.,,,,,
26,HARI Eventos S.A de C.V,Corporativos / Social,CDMX Miguel Hidalgo,CDMX,5523987547,https://wa.me/525523987547,,Coordinación y planificación.,,,,,
27,Karams Producciones,Producción / Experiencias,CDMX Cuauhtémoc,CDMX,5538942470,https://wa.me/525538942470,,Eventos memorables.,,,,,
28,Valermo Experience Group,Lujo / Experiencias,CDMX,CDMX,5549386854,https://wa.me/525549386854,grupoavanttia.com,Experiencias de lujo personalizadas.,,,,,
29,Grupo Avanttia,AV / Producción integral,CDMX,CDMX,5575751368,https://wa.me/525575751368,grupoavanttia.com,"Audio, video e iluminación. Cuauhtémoc 722.",,,,,
30,Event Planner México,Bodas / Corporativos,CDMX,CDMX,5561257703,https://wa.me/525561257703,eventplannermexico.mx,200+ bodas. Paquetes $85k-$200k MXN.,,,,,
31,Yaber Supreme Events,Bodas / Gala,CDMX,CDMX,5527053894,https://wa.me/525527053894,yabersupreme.com,Bodas con elegancia como eje central.,,,,,
32,Revery Eventos,Social / Diseño contemp.,CDMX,CDMX,5519894364,https://wa.me/525519894364,instagram.com/revery_eventos_especiales,Flexibilidad y resolución de crisis.,,,,,
33,Protocolo Eventos,Corporativos técnicos,CDMX,CDMX,5578254081,https://wa.me/525578254081,,Coordinación milimétrica de programas.,,,,,
34,IMAGINE Diseño y Producción,Producción gran escala,CDMX,CDMX,5555124420,https://wa.me/525555124420,imaginedype.com,Escenografías que transforman espacios.,,,,,
35,Aster Events,Bodas / Social,CDMX,CDMX,5591835496,https://wa.me/525591835496,asterevent.com,Estilo minimalista y natural.,,,,,
36,Nappyclub,Baby shower / Social,CDMX,CDMX,5551060519,https://wa.me/525551060519,,Dinámicas y entretenimiento.,,,,,
37,ARTV ARTPHEST S.A.,Shows / Entretenimiento,Zapopan,JAL,3331294964,https://wa.me/523331294964,artv.com.mx,38 años. Conciertos y ferias.,,,,,
38,AVM Organización,Social / Cultural / Dep.,Guadalajara,JAL,3336795717,https://wa.me/523336795717,eventosavm.com,"Social, cultural y deportivo.",,,,,
39,B&C Eventos,Bodas / Banquetes,Zapopan,JAL,3331650590,https://wa.me/523331650590,banquetesycoordinaciondeeventos.com,Nacional e internacional.,,,,,
40,SUNSET EVENTCOACHING,Corporativos / Convenciones,Zapopan,JAL,3315629424,https://wa.me/523315629424,sunseteventos.net,Convenciones y lanzamientos.,,,,,
41,Event Planner Guadalajara,General,Guadalajara,JAL,3314958653,https://wa.me/523314958653,planeadoresdeeventos.com,,,,,,
42,Coordinación De Eventos GDL,General,Guadalajara,JAL,3336325933,https://wa.me/523336325933,,"Lomas De Guevara, Gral. Eulogio Parra.",,,,,
43,Carpa Real,Bodas / Sociales,Monterrey,NL,8183114444,https://wa.me/528183114444,carpareal.com.mx,,,,,,
44,DMC Monterrey,Congresos / Incentivos,Monterrey,NL,8181918142,https://wa.me/528181918142,dmcmonterrey.com,20 años. info@dmcmonterrey.com,,,,,
45,Aztec Consultoria Empresarial,Corporativos,Monterrey,NL,,,,5.0 estrellas (14 reseñas) StarOfService.,,,,,
46,Plus Eventos Y Promociones,General,Monterrey,NL,,,,StarOfService Monterrey.,,,,,
47,Lorena Puente Bodas y Eventos,Bodas,Monterrey,NL,,,,"Desde $15,000 MXN.",,,,,
48,Brandon De León Event Designer,Diseño de eventos,Monterrey,NL,,,,4.0 estrellas. Event designer.,,,,,
49,MOZÉ Centro de Eventos,Corporativos / Social,Tuxtla Gutiérrez,Chiapas,9611465809,https://wa.me/529611465809,mozeeventos.com,Salones verdes y corporativos.,,,,,
50,ARIM Banquetes,Banquetes / Empresarial,La Piedad,Michoacán,3525241002,https://wa.me/523525241002,arim.com.mx,25+ años lider en La Piedad.,,,,,
